brewery,beer_name,beer_style,availability,aby,master_style,abv
Wicked Weed Brewing Company,Orange Peel Pale Ale,American-Style Pale Ale,,,Pale Ale,5.5
Wicked Weed Brewing Company,Pacificmost Gose,Contemporary Gose,,,Other,4.1
Wicked Weed Brewing Company,Pallino Wit Biere,Belgian-Style White (or Wit) / Belgian-Style Wheat,,,Other,5.6
Wicked Weed Brewing Company,Pearfigt,American-Style India Pale Ale,,,IPA,6.3
Wicked Weed Brewing Company,Permeo,Wood- and Barrel-Aged Sour Beer,,,Other,6.4
Wicked Weed Brewing Company,Pernicious IPA,American-Style India Pale Ale,,,IPA,7.3
Wicked Weed Brewing Company,Persistence,American-Style Sour Ale,,,Ale,9.0
Wicked Weed Brewing Company,Pick Me! Pale Ale: Walt's Pick,American-Style Pale Ale,,,Pale Ale,5.2
Wicked Weed Brewing Company,Plainsdealer,Wood- and Barrel-Aged Sour Beer,,,Other,8.0
Wicked Weed Brewing Company,Pompoen,American-Style Sour Ale,,,Ale,0.0
Wicked Weed Brewing Company,Poperinge Saison,French & Belgian-Style Saison,,,Saison,7.3
Wicked Weed Brewing Company,Prevalence,Wood- and Barrel-Aged Sour Beer,Limited,,Other,7.2
Wicked Weed Brewing Company,Pumpkin Up The Volume,Pumpkin Beer,Limited,,Other,7.3
Wicked Weed Brewing Company,Queen Bee Stout,American-Style Imperial Stout,,,Stout,9.0
Wicked Weed Brewing Company,Recurrent,American-Style Sour Ale,,,Ale,0.0
Wicked Weed Brewing Company,Red Angel,Wild Beer,,,Other,7.0
Wicked Weed Brewing Company,Resonare,American-Style Sour Ale,,,Ale,6.0
Wicked Weed Brewing Company,Reticent Saison,French & Belgian-Style Saison,,,Saison,6.5
Wicked Weed Brewing Company,Reverence,Belgian-Style Pale Ale,,,Pale Ale,
Wicked Weed Brewing Company,Rubus Viola,American-Style Sour Ale,,,Ale,7.6
Wicked Weed Brewing Company,S'mores Stout,American-Style Imperial Stout,,,Stout,9.2
Wicked Weed Brewing Company,Saison V: Chocolate Raspberry,French & Belgian-Style Saison,,,Saison,7.0
Wicked Weed Brewing Company,Sandiaca,Wood- and Barrel-Aged Sour Beer,,,Other,7.6
Wicked Weed Brewing Company,Sauvage Wine Barrel Saison,French & Belgian-Style Saison,,,Saison,
Wicked Weed Brewing Company,Serenity,French & Belgian-Style Saison,,,Saison,5.5
Wicked Weed Brewing Company,Serotina,American-Style Sour Ale,,,Ale,8.0
Wicked Weed Brewing Company,Silencio,Wood- and Barrel-Aged Sour Beer,,,Other,7.4
Wicked Weed Brewing Company,Sir Ryan the Pounder,Session Beer,,,Other,5.2
Wicked Weed Brewing Company,Southern Ambrosia,Fruit Beer,,,Other,10.0
Wicked Weed Brewing Company,Super Flare,American-Style India Pale Ale,,,IPA,7.5
Wicked Weed Brewing Company,Sweet Talker IPA,American-Style India Pale Ale,,,IPA,4.0
Wicked Weed Brewing Company,Terra Locale Appalachia,French & Belgian-Style Saison,,,Saison,7.2
Wicked Weed Brewing Company,Terra Merita,Wood- and Barrel-Aged Sour Beer,,,Other,5.7
Wicked Weed Brewing Company,Thirst Puncher Experimental IPA,American-Style India Pale Ale,,,IPA,7.5
Wicked Weed Brewing Company,Tributary,French & Belgian-Style Saison,,,Saison,8.8
Wicked Weed Brewing Company,Tropicmost Passionfruit Gose,Leipzig-Style Gose,,,Other,4.1
Wicked Weed Brewing Company,Tyranny Hoppy Red Ale,Irish-Style Red Ale,,,Ale,7.0
Wicked Weed Brewing Company,Tyrant Double Red,Imperial Red Ale,,,Ale,8.5
Wicked Weed Brewing Company,Uncle Rick's Pilsner,American-Style Pilsener,,,Other,5.0
Wicked Weed Brewing Company,Watermelon Dragonfruit Burst,American-Style Sour Ale,,,Ale,4.5
Wicked Weed Brewing Company,Watermelon Saison,French & Belgian-Style Saison,,,Saison,4.7
Wicked Weed Brewing Company,White Angel,Wild Beer,,,Other,7.3
Wicked Weed Brewing Company,Wicked Weed Lost Toys Blend #1,Wild Beer,Limited,,Other,6.4
Wicked Weed Brewing Company,Xibalba,Herb and Spice Beer,,,Other,8.2
Wicked Weed Brewing Company,XII Peach Habanero Saison,French & Belgian-Style Saison,,,Saison,6.6
Wicked Weed Brewing Company,XLIV Mango Habanero Saison,French & Belgian-Style Saison,,,Saison,7.3
Wicked Weed Brewing Company,XXXI Saison,French & Belgian-Style Saison,,,Saison,
Wicked Weed Brewing Company,Abundance,American-Style India Pale Ale,,,IPA,6.7
Wicked Weed Brewing Company,Aicha,Wood- and Barrel-Aged Sour Beer,,,Other,6.4
Wicked Weed Brewing Company,Amorous - Royal Cache Barrel Reserve Series,Wood- and Barrel-Aged Sour Beer,,,Other,7.0
Wicked Weed Brewing Company,Angel of Darkness,American-Style Sour Ale,,,Ale,11.0
Wicked Weed Brewing Company,Appalachia,Session India Pale Ale,,,IPA,4.7
Wicked Weed Brewing Company,Arcanic,Belgian-Style Dark Strong Ale,,,Ale,12.1
Wicked Weed Brewing Company,Artist Formerly Known As...,American-Style Pale Ale,,,Pale Ale,6.4
Wicked Weed Brewing Company,Astronomical,American-Style India Pale Ale,,,IPA,7.7
Wicked Weed Brewing Company,Aye-Aye Stout,American-Style Imperial Stout,,,Stout,8.5
Wicked Weed Brewing Company,Barrel Aged French Toast,American-Style Imperial Stout,,,Stout,10.0
Wicked Weed Brewing Company,Barrel Aged Xibalba,Pumpkin Beer,,,Other,9.6
Wicked Weed Brewing Company,Barrel-Aged El Paraiso,Imperial or Double India Pale Ale,Limited,,IPA,10.3
Wicked Weed Brewing Company,Barrel-Aged Lunatic Blonde,Golden or Blonde Ale,,,Ale,7.0
Wicked Weed Brewing Company,Basic White Bier,Belgian-Style White (or Wit) / Belgian-Style Wheat,,,Other,5.7
Wicked Weed Brewing Company,Basic White Bier,Belgian-Style White (or Wit) / Belgian-Style Wheat,,,Other,5.7
Wicked Weed Brewing Company,Bedeviled Golden Strong Ale,Belgian-Style Pale Strong Ale,,,Ale,9.8
Wicked Weed Brewing Company,Belgian Sting,Belgian-Style Tripel,,,Other,7.8
Wicked Weed Brewing Company,Benevolence,American-Style Sour Ale,,,Ale,0.0
Wicked Weed Brewing Company,Black Angel,Wood- and Barrel-Aged Sour Beer,Limited,,Other,6.6
Wicked Weed Brewing Company,Blind Faith Dark Strong,Belgian-Style Dark Strong Ale,Limited,,Ale,11.0
Wicked Weed Brewing Company,Bombadile,American-Style Sour Ale,,,Ale,4.2
Wicked Weed Brewing Company,Botanica,Wild Beer,,,Other,7.2
Wicked Weed Brewing Company,Bourbon Barrel Aged Milk & Cookies,American-Style Imperial Stout,Winter,,Stout,9.5
Wicked Weed Brewing Company,Bourbon Barrel Aged Oblivion,Wood- and Barrel-Aged Sour Beer,,,Other,10.5
Wicked Weed Brewing Company,Bramble Barrel,Wood- and Barrel-Aged Sour Beer,,,Other,8.6
Wicked Weed Brewing Company,Brett Burglar,Brett Beer,,,Other,7.3
Wicked Weed Brewing Company,Brettaberry,French & Belgian-Style Saison,,,Saison,5.5
Wicked Weed Brewing Company,Brettabolic,French & Belgian-Style Saison,,,Saison,5.9
Wicked Weed Brewing Company,Bretticent Wild Ale,French & Belgian-Style Saison,,,Saison,6.5
Wicked Weed Brewing Company,BURST (Passionfruit Lychee),American-Style Sour Ale,,,Ale,4.5
Wicked Weed Brewing Company,CaliMost Gose,Contemporary Gose,,,Other,4.1
Wicked Weed Brewing Company,Canvas Series: Dalliance,Wild Beer,Limited,,Other,5.4
Wicked Weed Brewing Company,Cardinal Sin Red,Belgian-Style Flanders Oud Bruin or Oud Red Ales,,,Other,
Wicked Weed Brewing Company,Cherry Key Lime Burst,American-Style Sour Ale,Not Available,,Ale,4.5
Wicked Weed Brewing Company,Chocolate Covered Black Angel,Wood- and Barrel-Aged Sour Beer,,,Other,7.2
Wicked Weed Brewing Company,Clarence,Traditional German-Style Bock,,,Other,5.1
Wicked Weed Brewing Company,Coastal Love,Juicy or Hazy India Pale Ale,,,IPA,6.3
Wicked Weed Brewing Company,Coolcumber,American-Style Pale Ale,Limited,,Pale Ale,5.3
Wicked Weed Brewing Company,Dark & Stormy,Wood- and Barrel-Aged Strong Beer,,,Other,10.5
Wicked Weed Brewing Company,Dark Age Bourbon Stout,Wood- and Barrel-Aged Strong Beer,,,Other,
Wicked Weed Brewing Company,Dark Age Coffee,American-Style Imperial Stout,,,Stout,11.8
Wicked Weed Brewing Company,Dark Arts,American-Style Imperial Stout,,,Stout,15.0
Wicked Weed Brewing Company,Dark Arts Imperial Stout (Aged In Tequila Barrels W/ Espresso),American-Style Imperial Stout,Limited,,Stout,15.0
Wicked Weed Brewing Company,Dark Arts Imperial Stout (Aged In Tequila Barrels),American-Style Imperial Stout,Limited,,Stout,15.0
Wicked Weed Brewing Company,Decoy Red,American-Style Amber/Red Ale,,,Ale,
Wicked Weed Brewing Company,Denouement,Wood- and Barrel-Aged Sour Beer,,,Other,7.4
Wicked Weed Brewing Company,Denouncement,Belgian-Style Tripel,,,Other,7.4
Wicked Weed Brewing Company,Devilwood,Belgian-Style Blonde Ale,,,Ale,9.7
Wicked Weed Brewing Company,Dirndl Bock,Traditional German-Style Bock,,,Other,8.0
Wicked Weed Brewing Company,Divergence,Brown Porter,,,Porter,7.6
Wicked Weed Brewing Company,Don't Tread on Maize,American-Style Pale Ale,,,Pale Ale,5.7
Wicked Weed Brewing Company,Dunkelweizen,South German-Style Dunkel Weizen / Dunkel Weissbier,,,Other,5.1
Wicked Weed Brewing Company,El Paraiso,American-Style Imperial Stout,,,Stout,9.5
Wicked Weed Brewing Company,El Paraiso Imperial Coffee Stout,American-Style Imperial Stout,,,Stout,9.5
Wicked Weed Brewing Company,Empress,Belgian-Style Tripel,,,Other,9.2
Wicked Weed Brewing Company,Empyrean Barrel Aged DIPA,Imperial or Double India Pale Ale,,,IPA,
Wicked Weed Brewing Company,Ferme De Chien,American-Style Sour Ale,,,Ale,5.8
Wicked Weed Brewing Company,Ferme de Grand-Père,Wild Beer,,,Other,7.0
Wicked Weed Brewing Company,Fille De Ferme,French & Belgian-Style Saison,,,Saison,4.1
Wicked Weed Brewing Company,Framboos Morte,Belgian-Style Fruit Lambic,,,Other,5.8
Wicked Weed Brewing Company,Freak of Nature Double IPA,Imperial or Double India Pale Ale,,,IPA,8.5
Wicked Weed Brewing Company,Freaky Friday DIPA,Imperial or Double India Pale Ale,,,IPA,9.4
Wicked Weed Brewing Company,French Toast Stout,Specialty Stouts,,,Other,8.5
Wicked Weed Brewing Company,Garçon de Ferme,Wild Beer,,,Other,6.2
Wicked Weed Brewing Company,Genesis Blonde Sour,Wood- and Barrel-Aged Sour Beer,,,Other,6.6
Wicked Weed Brewing Company,German Chocolate Cake,American-Style Imperial Stout,,,Stout,8.8
Wicked Weed Brewing Company,Gluten FREEk,Gluten-Free Beer,,,Other,
Wicked Weed Brewing Company,Glutenous Minimus,American-Style India Pale Ale,,,IPA,6.9
Wicked Weed Brewing Company,Golden Angel,Wild Beer,Limited,,Other,7.0
Wicked Weed Brewing Company,Guajava,Wild Beer,,,Other,6.6
Wicked Weed Brewing Company,Happy Blending,Wild Beer,,,Other,6.6
Wicked Weed Brewing Company,Hefeweizen,South German-Style Hefeweizen / Hefeweissbier,,,Hefeweizen,5.4
Wicked Weed Brewing Company,Heresy Brown Ale,American-Style Brown Ale,,,Ale,7.4
Wicked Weed Brewing Company,Hop Burglar IPA,American-Style India Pale Ale,,,IPA,6.5
Wicked Weed Brewing Company,Hop Cocoa,Brown Porter,,,Porter,6.5
Wicked Weed Brewing Company,Horti-Glory,French & Belgian-Style Saison,,,Saison,6.0
Wicked Weed Brewing Company,Imperial Coolcumber,Wood- and Barrel-Aged Beer,,,Other,9.0
Wicked Weed Brewing Company,Incandescent,Wood- and Barrel-Aged Sour Beer,,,Other,7.0
Wicked Weed Brewing Company,Incorangeible,American-Style India Pale Ale,,,IPA,7.5
Wicked Weed Brewing Company,Indulgence - Royal Cache Barrel Reserve Series,Brett Beer,,,Other,9.6
Wicked Weed Brewing Company,Infidel Porter,Brown Porter,,,Porter,6.8
Wicked Weed Brewing Company,Iron Lady Black IPA,American-Style India Pale Ale,,,IPA,9.5
Wicked Weed Brewing Company,Juiceless IPA,American-Style India Pale Ale,,,IPA,7.7
Wicked Weed Brewing Company,Khatta Masala,American-Style Sour Ale,,,Ale,7.7
Wicked Weed Brewing Company,La Bonté With Figs,Wood- and Barrel-Aged Sour Beer,,,Other,6.5
Wicked Weed Brewing Company,La Bonté With Pear,Wood- and Barrel-Aged Sour Beer,,,Other,6.5
Wicked Weed Brewing Company,La Bonte with Plum,American-Style Sour Ale,Year Round,,Ale,6.5
Wicked Weed Brewing Company,La Mûre Morte,American-Style Sour Ale,,,Ale,6.4
Wicked Weed Brewing Company,Le Peche Blanc,French & Belgian-Style Saison,,,Saison,
Wicked Weed Brewing Company,Lieutenant Dank,American-Style India Pale Ale,,,IPA,6.6
Wicked Weed Brewing Company,Lil' Hershey Brown Ale,American-Style Brown Ale,,,Ale,5.2
Wicked Weed Brewing Company,Lost Toys Blend  #2,Wood- and Barrel-Aged Sour Beer,,,Other,6.4
Wicked Weed Brewing Company,Lunatic Blonde,Belgian-Style Blonde Ale,,,Ale,6.5
Wicked Weed Brewing Company,Lupulin Lab,American-Style India Pale Ale,,,IPA,7.2
Wicked Weed Brewing Company,Lusus Naturae,Imperial or Double India Pale Ale,Limited,,IPA,8.4
Wicked Weed Brewing Company,Malice,American-Style Sour Ale,,,Ale,6.0
Wicked Weed Brewing Company,Marina,Wood- and Barrel-Aged Sour Beer,,,Other,6.5
Wicked Weed Brewing Company,Medora,Wild Beer,,,Other,6.6
Wicked Weed Brewing Company,Melisseus Lavender Honey Ale,Specialty Honey Lager or Ale,,,Ale,6.2
Wicked Weed Brewing Company,Metatropics,Wild Beer,,,Other,6.2
Wicked Weed Brewing Company,Milk & Cookies,Sweet or Cream Stout,,,Stout,7.2
Wicked Weed Brewing Company,Mint Julep,American-Style Amber/Red Ale,,,Ale,9.7
Wicked Weed Brewing Company,Montmaretto,Wild Beer,,,Other,6.9
Wicked Weed Brewing Company,Montmartre,American-Style Sour Ale,,,Ale,6.9
Wicked Weed Brewing Company,Moogfest Chocolate IPA,American-Style India Pale Ale,,,IPA,
Wicked Weed Brewing Company,Mosaic Saison,French & Belgian-Style Saison,,,Saison,6.5
Wicked Weed Brewing Company,Myrtille,American-Style Sour Ale,,,Ale,6.0
Wicked Weed Brewing Company,Napoleon Complex,American-Style Pale Ale,,,Pale Ale,5.2
Wicked Weed Brewing Company,Nectarphillia,American-Style Sour Ale,,,Ale,
Wicked Weed Brewing Company,Oak Fermented Cider,Fruit Cider,,,Other,7.0
Wicked Weed Brewing Company,Oaxacan,Wood- and Barrel-Aged Sour Beer,,,Other,7.1
Wicked Weed Brewing Company,Oblivion,Wood- and Barrel-Aged Sour Beer,Limited,,Other,8.7
Wicked Weed Brewing Company,Oh My Quad,Belgian-Style Quadrupel,,,Other,13.4
Wicked Weed Brewing Company,Old Fashioned,Wood- and Barrel-Aged Beer,,,Other,9.0
Wicked Weed Brewing Company,Omnipresence,American-Style Sour Ale,,,Ale,0.0
Wicked Weed Brewing Company,Orange Peel Pale Ale,American-Style Pale Ale,,,Pale Ale,5.5
Wicked Weed Brewing Company,Pacificmost Gose,Contemporary Gose,,,Other,4.1
Wicked Weed Brewing Company,Pallino Wit Biere,Belgian-Style White (or Wit) / Belgian-Style Wheat,,,Other,5.6
Wicked Weed Brewing Company,Pearfigt,American-Style India Pale Ale,,,IPA,6.3
Wicked Weed Brewing Company,Permeo,Wood- and Barrel-Aged Sour Beer,,,Other,6.4
Wicked Weed Brewing Company,Pernicious IPA,American-Style India Pale Ale,,,IPA,7.3
Wicked Weed Brewing Company,Persistence,American-Style Sour Ale,,,Ale,9.0
Wicked Weed Brewing Company,Pick Me! Pale Ale: Walt's Pick,American-Style Pale Ale,,,Pale Ale,5.2
Wicked Weed Brewing Company,Plainsdealer,Wood- and Barrel-Aged Sour Beer,,,Other,8.0
Wicked Weed Brewing Company,Pompoen,American-Style Sour Ale,,,Ale,0.0
Wicked Weed Brewing Company,Poperinge Saison,French & Belgian-Style Saison,,,Saison,7.3
Wicked Weed Brewing Company,Prevalence,Wood- and Barrel-Aged Sour Beer,Limited,,Other,7.2
Wicked Weed Brewing Company,Pumpkin Up The Volume,Pumpkin Beer,Limited,,Other,7.3
Wicked Weed Brewing Company,Queen Bee Stout,American-Style Imperial Stout,,,Stout,9.0
Wicked Weed Brewing Company,Recurrent,American-Style Sour Ale,,,Ale,0.0
Wicked Weed Brewing Company,Red Angel,Wild Beer,,,Other,7.0
Wicked Weed Brewing Company,Resonare,American-Style Sour Ale,,,Ale,6.0
Wicked Weed Brewing Company,Reticent Saison,French & Belgian-Style Saison,,,Saison,6.5
Wicked Weed Brewing Company,Reverence,Belgian-Style Pale Ale,,,Pale Ale,
Wicked Weed Brewing Company,Rubus Viola,American-Style Sour Ale,,,Ale,7.6
Wicked Weed Brewing Company,S'mores Stout,American-Style Imperial Stout,,,Stout,9.2
Wicked Weed Brewing Company,Saison V: Chocolate Raspberry,French & Belgian-Style Saison,,,Saison,7.0
Wicked Weed Brewing Company,Sandiaca,Wood- and Barrel-Aged Sour Beer,,,Other,7.6
Wicked Weed Brewing Company,Sauvage Wine Barrel Saison,French & Belgian-Style Saison,,,Saison,
Wicked Weed Brewing Company,Serenity,French & Belgian-Style Saison,,,Saison,5.5
Wicked Weed Brewing Company,Serotina,American-Style Sour Ale,,,Ale,8.0
Wicked Weed Brewing Company,Silencio,Wood- and Barrel-Aged Sour Beer,,,Other,7.4
Wicked Weed Brewing Company,Sir Ryan the Pounder,Session Beer,,,Other,5.2
Wicked Weed Brewing Company,Southern Ambrosia,Fruit Beer,,,Other,10.0
Wicked Weed Brewing Company,Super Flare,American-Style India Pale Ale,,,IPA,7.5
Wicked Weed Brewing Company,Sweet Talker IPA,American-Style India Pale Ale,,,IPA,4.0
Wicked Weed Brewing Company,Terra Locale Appalachia,French & Belgian-Style Saison,,,Saison,7.2
Wicked Weed Brewing Company,Terra Merita,Wood- and Barrel-Aged Sour Beer,,,Other,5.7
Wicked Weed Brewing Company,Thirst Puncher Experimental IPA,American-Style India Pale Ale,,,IPA,7.5
Wicked Weed Brewing Company,Tributary,French & Belgian-Style Saison,,,Saison,8.8
Wicked Weed Brewing Company,Tropicmost Passionfruit Gose,Leipzig-Style Gose,,,Other,4.1
Wicked Weed Brewing Company,Tyranny Hoppy Red Ale,Irish-Style Red Ale,,,Ale,7.0
Wicked Weed Brewing Company,Tyrant Double Red,Imperial Red Ale,,,Ale,8.5
Wicked Weed Brewing Company,Uncle Rick's Pilsner,American-Style Pilsener,,,Other,5.0
Wicked Weed Brewing Company,Watermelon Dragonfruit Burst,American-Style Sour Ale,,,Ale,4.5
Wicked Weed Brewing Company,Watermelon Saison,French & Belgian-Style Saison,,,Saison,4.7
Wicked Weed Brewing Company,White Angel,Wild Beer,,,Other,7.3
Wicked Weed Brewing Company,Wicked Weed Lost Toys Blend #1,Wild Beer,Limited,,Other,6.4
Wicked Weed Brewing Company,Xibalba,Herb and Spice Beer,,,Other,8.2
Wicked Weed Brewing Company,XII Peach Habanero Saison,French & Belgian-Style Saison,,,Saison,6.6
Wicked Weed Brewing Company,XLIV Mango Habanero Saison,French & Belgian-Style Saison,,,Saison,7.3
Wicked Weed Brewing Company,XXXI Saison,French & Belgian-Style Saison,,,Saison,
Wicked Weed Brewing Company,Abundance,American-Style India Pale Ale,,,IPA,6.7
Wicked Weed Brewing Company,Aicha,Wood- and Barrel-Aged Sour Beer,,,Other,6.4
Wicked Weed Brewing Company,Amorous - Royal Cache Barrel Reserve Series,Wood- and Barrel-Aged Sour Beer,,,Other,7.0
Wicked Weed Brewing Company,Angel of Darkness,American-Style Sour Ale,,,Ale,11.0
Wicked Weed Brewing Company,Appalachia,Session India Pale Ale,,,IPA,4.7
Wicked Weed Brewing Company,Arcanic,Belgian-Style Dark Strong Ale,,,Ale,12.1
Wicked Weed Brewing Company,Artist Formerly Known As...,American-Style Pale Ale,,,Pale Ale,6.4
Wicked Weed Brewing Company,Astronomical,American-Style India Pale Ale,,,IPA,7.7
Wicked Weed Brewing Company,Aye-Aye Stout,American-Style Imperial Stout,,,Stout,8.5
Wicked Weed Brewing Company,Barrel Aged French Toast,American-Style Imperial Stout,,,Stout,10.0
Wicked Weed Brewing Company,Barrel Aged Xibalba,Pumpkin Beer,,,Other,9.6
Wicked Weed Brewing Company,Barrel-Aged El Paraiso,Imperial or Double India Pale Ale,Limited,,IPA,10.3
Wicked Weed Brewing Company,Barrel-Aged Lunatic Blonde,Golden or Blonde Ale,,,Ale,7.0
Wicked Weed Brewing Company,Basic White Bier,Belgian-Style White (or Wit) / Belgian-Style Wheat,,,Other,5.7
Wicked Weed Brewing Company,Basic White Bier,Belgian-Style White (or Wit) / Belgian-Style Wheat,,,Other,5.7
Wicked Weed Brewing Company,Bedeviled Golden Strong Ale,Belgian-Style Pale Strong Ale,,,Ale,9.8
Wicked Weed Brewing Company,Belgian Sting,Belgian-Style Tripel,,,Other,7.8
Wicked Weed Brewing Company,Benevolence,American-Style Sour Ale,,,Ale,0.0
Wicked Weed Brewing Company,Black Angel,Wood- and Barrel-Aged Sour Beer,Limited,,Other,6.6
Wicked Weed Brewing Company,Blind Faith Dark Strong,Belgian-Style Dark Strong Ale,Limited,,Ale,11.0
Wicked Weed Brewing Company,Bombadile,American-Style Sour Ale,,,Ale,4.2
Wicked Weed Brewing Company,Botanica,Wild Beer,,,Other,7.2
Wicked Weed Brewing Company,Bourbon Barrel Aged Milk & Cookies,American-Style Imperial Stout,Winter,,Stout,9.5
Wicked Weed Brewing Company,Bourbon Barrel Aged Oblivion,Wood- and Barrel-Aged Sour Beer,,,Other,10.5
Wicked Weed Brewing Company,Bramble Barrel,Wood- and Barrel-Aged Sour Beer,,,Other,8.6
Wicked Weed Brewing Company,Brett Burglar,Brett Beer,,,Other,7.3
Wicked Weed Brewing Company,Brettaberry,French & Belgian-Style Saison,,,Saison,5.5
Wicked Weed Brewing Company,Brettabolic,French & Belgian-Style Saison,,,Saison,5.9
Wicked Weed Brewing Company,Bretticent Wild Ale,French & Belgian-Style Saison,,,Saison,6.5
Wicked Weed Brewing Company,BURST (Passionfruit Lychee),American-Style Sour Ale,,,Ale,4.5
Wicked Weed Brewing Company,CaliMost Gose,Contemporary Gose,,,Other,4.1
Wicked Weed Brewing Company,Canvas Series: Dalliance,Wild Beer,Limited,,Other,5.4
Wicked Weed Brewing Company,Cardinal Sin Red,Belgian-Style Flanders Oud Bruin or Oud Red Ales,,,Other,
Wicked Weed Brewing Company,Cherry Key Lime Burst,American-Style Sour Ale,Not Available,,Ale,4.5
Wicked Weed Brewing Company,Chocolate Covered Black Angel,Wood- and Barrel-Aged Sour Beer,,,Other,7.2
Wicked Weed Brewing Company,Clarence,Traditional German-Style Bock,,,Other,5.1
Wicked Weed Brewing Company,Coastal Love,Juicy or Hazy India Pale Ale,,,IPA,6.3
Wicked Weed Brewing Company,Coolcumber,American-Style Pale Ale,Limited,,Pale Ale,5.3
Wicked Weed Brewing Company,Dark & Stormy,Wood- and Barrel-Aged Strong Beer,,,Other,10.5
Wicked Weed Brewing Company,Dark Age Bourbon Stout,Wood- and Barrel-Aged Strong Beer,,,Other,
Wicked Weed Brewing Company,Dark Age Coffee,American-Style Imperial Stout,,,Stout,11.8
Wicked Weed Brewing Company,Dark Arts,American-Style Imperial Stout,,,Stout,15.0
Wicked Weed Brewing Company,Dark Arts Imperial Stout (Aged In Tequila Barrels W/ Espresso),American-Style Imperial Stout,Limited,,Stout,15.0
Wicked Weed Brewing Company,Dark Arts Imperial Stout (Aged In Tequila Barrels),American-Style Imperial Stout,Limited,,Stout,15.0
Wicked Weed Brewing Company,Decoy Red,American-Style Amber/Red Ale,,,Ale,
Wicked Weed Brewing Company,Denouement,Wood- and Barrel-Aged Sour Beer,,,Other,7.4
Wicked Weed Brewing Company,Denouncement,Belgian-Style Tripel,,,Other,7.4
Wicked Weed Brewing Company,Devilwood,Belgian-Style Blonde Ale,,,Ale,9.7
Wicked Weed Brewing Company,Dirndl Bock,Traditional German-Style Bock,,,Other,8.0
Wicked Weed Brewing Company,Divergence,Brown Porter,,,Porter,7.6
Wicked Weed Brewing Company,Don't Tread on Maize,American-Style Pale Ale,,,Pale Ale,5.7
Wicked Weed Brewing Company,Dunkelweizen,South German-Style Dunkel Weizen / Dunkel Weissbier,,,Other,5.1
Wicked Weed Brewing Company,El Paraiso,American-Style Imperial Stout,,,Stout,9.5
Wicked Weed Brewing Company,El Paraiso Imperial Coffee Stout,American-Style Imperial Stout,,,Stout,9.5
Wicked Weed Brewing Company,Empress,Belgian-Style Tripel,,,Other,9.2
Wicked Weed Brewing Company,Empyrean Barrel Aged DIPA,Imperial or Double India Pale Ale,,,IPA,
Wicked Weed Brewing Company,Ferme De Chien,American-Style Sour Ale,,,Ale,5.8
Wicked Weed Brewing Company,Ferme de Grand-Père,Wild Beer,,,Other,7.0
Wicked Weed Brewing Company,Fille De Ferme,French & Belgian-Style Saison,,,Saison,4.1
Wicked Weed Brewing Company,Framboos Morte,Belgian-Style Fruit Lambic,,,Other,5.8
Wicked Weed Brewing Company,Freak of Nature Double IPA,Imperial or Double India Pale Ale,,,IPA,8.5
Wicked Weed Brewing Company,Freaky Friday DIPA,Imperial or Double India Pale Ale,,,IPA,9.4
Wicked Weed Brewing Company,French Toast Stout,Specialty Stouts,,,Other,8.5
Wicked Weed Brewing Company,Garçon de Ferme,Wild Beer,,,Other,6.2
Wicked Weed Brewing Company,Genesis Blonde Sour,Wood- and Barrel-Aged Sour Beer,,,Other,6.6
Wicked Weed Brewing Company,German Chocolate Cake,American-Style Imperial Stout,,,Stout,8.8
Wicked Weed Brewing Company,Gluten FREEk,Gluten-Free Beer,,,Other,
Wicked Weed Brewing Company,Glutenous Minimus,American-Style India Pale Ale,,,IPA,6.9
Wicked Weed Brewing Company,Golden Angel,Wild Beer,Limited,,Other,7.0
Wicked Weed Brewing Company,Guajava,Wild Beer,,,Other,6.6
Wicked Weed Brewing Company,Happy Blending,Wild Beer,,,Other,6.6
Wicked Weed Brewing Company,Hefeweizen,South German-Style Hefeweizen / Hefeweissbier,,,Hefeweizen,5.4
Wicked Weed Brewing Company,Heresy Brown Ale,American-Style Brown Ale,,,Ale,7.4
Wicked Weed Brewing Company,Hop Burglar IPA,American-Style India Pale Ale,,,IPA,6.5
Wicked Weed Brewing Company,Hop Cocoa,Brown Porter,,,Porter,6.5
Wicked Weed Brewing Company,Horti-Glory,French & Belgian-Style Saison,,,Saison,6.0
Wicked Weed Brewing Company,Imperial Coolcumber,Wood- and Barrel-Aged Beer,,,Other,9.0
Wicked Weed Brewing Company,Incandescent,Wood- and Barrel-Aged Sour Beer,,,Other,7.0
Wicked Weed Brewing Company,Incorangeible,American-Style India Pale Ale,,,IPA,7.5
Wicked Weed Brewing Company,Indulgence - Royal Cache Barrel Reserve Series,Brett Beer,,,Other,9.6
Wicked Weed Brewing Company,Infidel Porter,Brown Porter,,,Porter,6.8
Wicked Weed Brewing Company,Iron Lady Black IPA,American-Style India Pale Ale,,,IPA,9.5
Wicked Weed Brewing Company,Juiceless IPA,American-Style India Pale Ale,,,IPA,7.7
Wicked Weed Brewing Company,Khatta Masala,American-Style Sour Ale,,,Ale,7.7
Wicked Weed Brewing Company,La Bonté With Figs,Wood- and Barrel-Aged Sour Beer,,,Other,6.5
Wicked Weed Brewing Company,La Bonté With Pear,Wood- and Barrel-Aged Sour Beer,,,Other,6.5
Wicked Weed Brewing Company,La Bonte with Plum,American-Style Sour Ale,Year Round,,Ale,6.5
