breweries,city,state,latitude,longitude,brewery_ID,brewery_type
Appalachian Mountain Brewery,Boone,North Carolina,36.2033443,-81.6685954,mcYO9v,Micro Brewery
1789 Brewery & Taphouse,Statesville,North Carolina,35.7826363,-80.8872959,eRrmuR,Micro Brewery
Nickelpoint Brewing Co.,Raleigh,North Carolina,35.804402,-78.633663,NTO6Fr,Micro Brewery
Burlington Beer Works,Burlington,North Carolina,36.03,-79.48,Glab3s,Micro Brewery
Craggie Brewing Company,Asheville,North Carolina,35.5911984,-82.5559403,lsziMe,Micro Brewery
First Coast Brewing,Wilmington,North Carolina,34.23497,-77.945992,T0Qftd,Micro Brewery
BearWaters Brewing Company,Canton,North Carolina,35.5313019,-82.8426478,jDg4xl,Micro Brewery
Ben's Tune Up,Asheville,North Carolina,35.5913625,-82.555786,VP2DMk,Micro Brewery
Winding Creek Brewing Co,Columbus,North Carolina,35.2541114,-82.1958573,7il1WB,Micro Brewery
New Sarum Brewing,Salisbury,North Carolina,35.666689,-80.468105,kVLhDj,Micro Brewery
Sanctuary Brewing Company,Hendersonville,North Carolina,35.3147592,-82.4588602,vloref,Micro Brewery
Steve and Clark's Brew Pub and Sausage Co. #2,Durham,North Carolina,35.99958,-78.908086,1PXsT9,Micro Brewery
King Canary Brewing Company,Mooresville,North Carolina,35.5705815,-80.8684581,VDojZD,Micro Brewery
Pitt Street Brewing Company,Greenville,North Carolina,35.6094137,-77.3771667,knEKVM,Micro Brewery
Wooden Robot Brewery,Charlotte,North Carolina,35.2166767,-80.856644,zxMohP,Micro Brewery
Roth Brewing Company,Raleigh,North Carolina,35.895661,-78.745316,GThxmF,Micro Brewery
White Elephant Beer Company,Mount Airy,North Carolina,36.5005979,-80.609098,6zQbFx,Micro Brewery
Heinzelmännchen Brewery,Sylva,North Carolina,35.3737917,-83.2225136,XFY63m,Micro Brewery
Naked Apple Hard Cider,Flat Rock,North Carolina,35.271228,-82.441508,ThMAOJ,Cidery
Heist Brewery,Charlotte,North Carolina,35.245827,-80.808967,3Rjk1o,Brewpub
Outer Banks Brewing Station,Kill Devil Hills,North Carolina,36.009996,-75.658754,Rew3Ib,Brewpub
New Anthem Beer Project,Wilmington,North Carolina,34.2340165,-77.9477633,zjHu4E,Micro Brewery
Double Barley Brewing,Smithfield,North Carolina,35.5667492,-78.3380203,zwAzew,Micro Brewery
Starrlight Mead,Pittsboro,North Carolina,35.7269418,-79.1752021,Hdz6Zk,Meadery
