index,brewery_id,brewery_inBusiness,beer_name,beer_style,abv,ibu_max,ibu_min,beer_id
0,QEB46N,Y,Bended Tree,Field Beer,5,70,5,rjwbiG
1,QEB46N,Y,Blonde Ale,Golden or Blonde Ale,5,25,15,6NOE18
2,QEB46N,Y,Hop Rooted,American-Style India Pale Ale,6.5,70,50,U3fPrh
3,ichhfQ,Y,Bardstown Barleywine,American-Style Barley Wine Ale,10,100,60,PsTQTg
4,ichhfQ,Y,Bee Student,Specialty Honey Lager or Ale,NaN,100,NaN,SgJVJf
5,ichhfQ,Y,Bestway IPA,American-Style India Pale Ale,NaN,70,50,SlOBl2
6,ichhfQ,Y,Black Hearted,German-Style Schwarzbier,NaN,30,22,JdTvly
7,ichhfQ,Y,Black Raven IPA,Specialty Beer,7,100,NaN,gvjgyk
8,ichhfQ,Y,Brown Mountain Light,Golden or Blonde Ale,NaN,25,15,KHrNiV
9,ichhfQ,Y,Calico Jack,American-Style Imperial Stout,9.5,80,50,vxCjvP
10,ichhfQ,Y,Carolus Magnus,Belgian-Style Quadrupel,14,50,25,hJl7cX
11,ichhfQ,Y,Christmas Ale,Herb and Spice Beer,5.5,70,5,eVv2mY
12,ichhfQ,Y,Cubano Walker,American-Style Barley Wine Ale,10,100,60,E2rt0n
13,ichhfQ,Y,Cuvée de Reinke,Belgian-Style Blonde Ale,8.5,30,15,qMahAE
14,ichhfQ,Y,Daniel Boone,American-Style Brown Ale,8.5,45,25,hd3pTg
15,ichhfQ,Y,Death By Hops,Imperial or Double India Pale Ale,7,100,65,BF1oAo
16,ichhfQ,Y,Hefe-Weizen,South German-Style Hefeweizen / Hefeweissbier,4.5,15,10,YvJ01N
17,ichhfQ,Y,Hickory Stick Stout,American-Style Stout,5,60,35,Ob0m49
18,ichhfQ,Y,Imperial Dominance,American-Style Imperial Stout,10,80,50,GTCtKv
19,ichhfQ,Y,Imperial Stout,American-Style Imperial Stout,10.5,80,50,r0y96l
20,ichhfQ,Y,Irish Walker,British-Style Barley Wine Ale,7.7,60,40,2CCEd7
21,ichhfQ,Y,Lindley Park,American-Style Imperial Stout,10,80,50,NzKMU3
22,ichhfQ,Y,Monkey's Uncle Munich-Style Dunkle Lager Beer,European-Style Dark / Münchner Dunkel,NaN,25,16,7ftagX
23,ichhfQ,Y,Nitro Death By Hops,American-Style India Pale Ale,7,70,50,nIECYI
24,ichhfQ,Y,Oktoberfest Lager,German-Style Märzen,NaN,25,18,JDJ6aI
25,ichhfQ,Y,Olde Rabbit's Foot,British-Style Imperial Stout,10.13,65,45,lmgdVa
26,ichhfQ,Y,Omega Point,American-Style Barley Wine Ale,10,100,60,RDvThU
27,ichhfQ,Y,Peabody's Appalachian Ale,Specialty Beer,NaN,100,NaN,z0RGYi
28,ichhfQ,Y,Peabody's Blendiculous Series 1,British-Style Barley Wine Ale,10.2,60,40,4TK9tJ
29,ichhfQ,Y,Piedmont Pilsner,German-Style Pilsener,4.5,40,25,TKgxGC
30,rBxNNF,Y,Rabbit's Foot Bourbon Barrel-Aged Imperial Stout,American-Style Imperial Stout,10.13,80,50,siJW75
31,ichhfQ,Y,Redeemer,Imperial or Double India Pale Ale,10,100,65,SCXvJy
32,ichhfQ,Y,Ruby Lager,American-Style Premium Lager,4,15,6,nYkcKF
33,ichhfQ,Y,Saison Gee,French & Belgian-Style Saison,NaN,40,20,506AWw
34,ichhfQ,Y,Saison Revolution,French & Belgian-Style Saison,8.5,40,20,e9U5BU
35,ichhfQ,Y,Seven Devils,Scotch Ale,8,35,25,5z4gmS
36,ichhfQ,Y,Southern Cross,American-Style Pilsener,NaN,40,25,wbaBrw
37,ichhfQ,Y,Table Rock Pale Ale,American-Style Pale Ale,5.5,42,30,5ePlPd
38,ichhfQ,Y,The Bean,American-Style Stout,NaN,60,35,4WGjTP
39,ichhfQ,Y,The Event Horizon,American-Style Imperial Stout,8.5,80,50,U69UNh
40,ichhfQ,Y,Wake Up Bitter,American-Style India Pale Ale,7,70,50,502JT6
41,ichhfQ,Y,Wavell Gunn,Scotch Ale,8.5,35,25,I6WI9k
42,ichhfQ,Y,Weizen-Bock,South German-Style Weizenbock / Weissbock,NaN,35,15,hy8ZZ4
43,ichhfQ,Y,Wheat Wine,American-Style Wheat Wine Ale,9.1,85,45,1ETVSD
44,ichhfQ,Y,Wilson Creek E.S.B.,Extra Special Bitter,NaN,45,30,0NbUwv
45,SYkdNz,Y,Arrowhead Red IPA,American-Style Amber/Red Ale,7.2,40,30,gI6qhC
46,SYkdNz,Y,Happy Top Wheat,American-Style Wheat Beer,4.8,35,10,pKwQEt
47,SYkdNz,Y,Leatherwood Red,American-Style Amber/Red Ale,5.6,40,30,RefEOK
48,SYkdNz,Y,Wildcat Pale Ale,American-Style Pale Ale,6.2,42,30,3yO2Xl
49,Cwhr9F,Y,Commitment Phobia,Session India Pale Ale,5.5,NaN,NaN,7F3PYd
50,Cwhr9F,Y,Cowboy Poet,American-Style Lager,4.8,13,5,jYmDi4
51,Cwhr9F,Y,Dry Stout,Classic Irish-Style Dry Stout,NaN,40,30,Spq5dP
52,nHLlnK,Y,'Murican Pilsner,American-Style Pilsener,5.5,40,25,c4f2KE
53,nHLlnK,Y,11.5° PLATO,Session India Pale Ale,4.5,NaN,NaN,zTTWa2
54,nHLlnK,Y,2 x 4,Other Belgian-Style Ales,8.7,NaN,NaN,qGDeH1
55,nHLlnK,Y,20th Street Ale Citra,Specialty Beer,7.3,100,NaN,uIgENV
56,nHLlnK,Y,20th Street Ale Crystal,Specialty Beer,7.3,100,NaN,WcP2Ww
57,nHLlnK,Y,20th Street Ale Magnum,Specialty Beer,7.3,100,NaN,HyxQE4
58,nHLlnK,Y,3 Weight,Session India Pale Ale,4,NaN,NaN,7z8RTq
59,nHLlnK,Y,"30th Anniversary - Charlie, Fred & Ken's Bock",German-Style Heller Bock/Maibock,8.3,38,20,f5CWb6
60,nHLlnK,Y,30th Anniversary - Fritz and Ken's Ale,American-Style Imperial Stout,9.2,80,50,0KEzfx
61,nHLlnK,Y,30th Anniversary - Grand Cru,Other Strong Ale or Lager,9.2,NaN,NaN,KjumXn
62,nHLlnK,Y,30th Anniversary - Jack & Ken's Ale,American-Style Barley Wine Ale,10.2,100,60,8M5lCq
63,nHLlnK,Y,35th Anniversary  - Brewer's Reserve,Strong Ale,8,65,30,ajbd6g
64,nHLlnK,Y,40th Hoppy Anniversary Ale,American-Style India Pale Ale,6,70,50,N4vZCt
65,nHLlnK,Y,ABLE Best Britter,Special Bitter or Best Bitter,4.3,40,28,hbF6tu
66,nHLlnK,Y,Ale 20,American-Style Pale Ale,5.7,42,30,RK9Po6
67,nHLlnK,Y,Alt Route - Beer Camp Across America,German-Style Altbier,6.6,52,25,hYaduh
68,nHLlnK,Y,Anniversary Ale,American-Style India Pale Ale,5.9,70,50,iEMsk8
69,nHLlnK,Y,Anniversary Ale,American-Style India Pale Ale,5.9,70,50,ItEVNY
70,nHLlnK,Y,Anniversary Ale,American-Style India Pale Ale,5.9,70,50,fBZZUJ
71,nHLlnK,Y,Audition - Altbier,German-Style Altbier,6.6,52,25,uHEs7N
72,nHLlnK,Y,Audition - Belgian-Style Blonde,Belgian-Style Blonde Ale,6.3,30,15,fdnFoV
73,nHLlnK,Y,Audition - Belgian-Style Pale Ale,Belgian-Style Pale Ale,5.3,30,20,8ugUQF
74,nHLlnK,Y,Audition - Dark Ale,American-Belgo-Style Ale,8.5,NaN,NaN,zrqusY
75,nHLlnK,Y,Audition - Double IPA,Imperial or Double India Pale Ale,8.5,100,65,BJFSW8
76,nHLlnK,Y,Audition - English-Style Bitter,Ordinary Bitter,5.6,35,20,cBZj1z
77,nHLlnK,Y,Audition - Imperial Pilsner,American-Style Pilsener,8,40,25,NY86j7
78,nHLlnK,Y,Audition - Pale Ale,American-Style Pale Ale,6.5,42,30,lEPIZg
79,nHLlnK,Y,Audition - Pilsner,American-Style Pilsener,5.2,40,25,WaxgGo
80,nHLlnK,Y,Audition - Rye Bock,Rye Ale or Lager with or without Yeast,7.2,NaN,NaN,HxW3xw
81,nHLlnK,Y,Audition - Scotch Ale,Scotch Ale,7.3,35,25,eOVHdT
82,nHLlnK,Y,Bad Luck Blonde,Golden or Blonde Ale,6.5,25,15,kLnpDN
83,nHLlnK,Y,Baltic Joy,Baltic-Style Porter,7.4,40,35,Beiqbm
84,nHLlnK,Y,Barrel Aged Narwhal,American-Style Imperial Stout,12.9,80,50,hO6U5X
85,nHLlnK,Y,Barrel-Aged Bigfoot (Whiskey Barrels),American-Style Barley Wine Ale,11.9,100,60,HIwvra
86,nHLlnK,Y,Barrel-Aged Hoptimum  (Trip in the Woods),American-Style India Pale Ale,11.5,70,50,AZgmir
87,nHLlnK,Y,Barrel-Aged Porter,Wood- and Barrel-Aged Beer,7.4,NaN,NaN,xjSOtt
88,nHLlnK,Y,Barrel-Aged Torpedo Extra IPA,American-Style India Pale Ale,8.5,70,50,4A41PO
89,nHLlnK,Y,Beer Camp,American-Style India Pale Ale,6.5,70,50,ISTT06
90,nHLlnK,Y,Beer Camp 013: Old Cantankerous,Old Ale,6.6,65,30,2rqlKs
91,nHLlnK,Y,Beer Camp 257,Imperial or Double India Pale Ale,9.7,100,65,mgTvuM
92,nHLlnK,Y,Beer Camp Across America,Imperial or Double India Pale Ale,8.6,100,65,7iFx4r
93,nHLlnK,Y,Beer Camp Golden IPA,American-Style India Pale Ale,6.5,70,50,6mTebP
94,nHLlnK,Y,Beer Camp Hoppy Lager,American-Style Lager,7,13,5,pTHBWA
95,nHLlnK,Y,Beer Camp Tropical IPA,American-Style India Pale Ale,6.7,70,50,pGqazY
96,x5tPgB,Y,Beer Camp: Atlantic-Style Vintage Ale,Classic English-Style Pale Ale,8.5,40,20,ZK2Swv
97,nHLlnK,Y,Beer Camp: Campout Porter,Brown Porter,7.7,30,20,BdlH6M
98,KSqbyz,Y,Beer Camp: Dry Hopped Belgian Golden,Golden or Blonde Ale,8,25,15,QHCtPE
99,Jio9R0,Y,Beer Camp: Dry-Hopped Barleywine-Style Ale,American-Style Barley Wine Ale,9.4,100,60,nxU5Fn
100,H3UW27,Y,Beer Camp: Dry-Hopped Berliner-Style Weisse,Berliner-Style Weisse (Wheat),4.2,6,3,2avhYf
101,nHLlnK,Y,Beer Camp: Dunkle Weisse,South German-Style Dunkel Weizen / Dunkel Weissbier,5.7,15,10,eueVi6
102,nHLlnK,Y,Beer Camp: East Meets West IPA,American-Style India Pale Ale,7,70,50,z8iAm9
103,nHLlnK,Y,Beer Camp: Ginger Lager,American-Style Lager,6.2,13,5,bSQyva
104,nHLlnK,Y,Beer Camp: Raspberry Sundae Ale,Herb and Spice Beer,8,70,5,q5sbES
105,nHLlnK,Y,Beer Camp: Stout of the Union,American-Style Stout,7,60,35,lT9g7O
106,tFoqj5,Y,Beer Camp: Thai-Style Iced Tea,Herb and Spice Beer,7.2,70,5,SPbPNt
107,nHLlnK,Y,Beer Camp: West Coast DIPA,Imperial or Double India Pale Ale,8.2,100,65,4jKDXK
108,a2GCv8,Y,Beer Camp: White IPA with Yuzu,American-Style India Pale Ale,7,70,50,h331gl
109,nHLlnK,Y,Belgian Black IPA - Beer Camp #94,Belgian-Style Pale Ale,7.7,30,20,BoJHzM
110,nHLlnK,Y,Belgian-Style Blonde IPA,Belgian-Style Blonde Ale,7.5,30,15,X8qNCS
111,nHLlnK,Y,BFD - Beer For Drinking,Golden or Blonde Ale,4.8,25,15,pSVIAZ
112,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,9.6,100,60,4sdq0d
113,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,9.6,100,60,oIutyD
114,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,9.6,100,60,pdLPeS
115,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,9.6,100,60,ygAzC9
116,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,9.6,100,60,eyYenc
117,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,9.6,100,60,2CRlqm
118,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,9.6,100,60,8PsCAg
119,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,9.6,100,60,IphbdN
120,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,9.6,100,60,DJcbV1
121,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,9.6,100,60,9HcWSd
122,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,9.6,100,60,zqS7ze
123,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,9.6,100,60,AFNvz4
124,nHLlnK,Y,Bigfoot,British-Style Barley Wine Ale,9.6,60,40,qUIYuC
125,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,NaN,100,60,1UhodH
126,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,9.6,100,60,ysyw2P
127,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,9.6,100,60,dapUuF
128,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,9.6,100,60,Rx4Dnt
129,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,9.6,100,60,aztnLa
130,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,9.6,100,60,ER2JSs
131,nHLlnK,Y,Bigfoot,American-Style Barley Wine Ale,9.6,100,60,ETtkIW
132,nHLlnK,Y,Bigfoot Barrel-Aged,American-Style Barley Wine Ale,12.2,100,60,0T4pOY
133,nHLlnK,Y,Black Eye PA,American-Style Black Ale,7.5,70,50,yoGDFl
134,nHLlnK,Y,Black IPA,American-Style India Pale Ale,6.9,70,50,fyj05b
135,nHLlnK,Y,Black Vapor,German-Style Schwarzbier,6,30,22,i0Hy6x
136,nHLlnK,Y,Blantons Barrel Aged Scotch Ale,Scotch Ale,11.3,35,25,QFJ250
137,nHLlnK,Y,Blindfold,American-Style Black Ale,7.4,70,50,d16niD
138,nHLlnK,Y,Blizzicane Bock,Traditional German-Style Bock,7.7,30,20,24mTU2
139,nHLlnK,Y,Blonde Ale,Golden or Blonde Ale,NaN,25,15,95tyDm
140,nHLlnK,Y,Blood Shot,Imperial Red Ale,8.6,85,55,IlrJbh
141,nHLlnK,Y,Blue Ridge Red,Irish-Style Red Ale,6.3,28,20,oYED15
142,nHLlnK,Y,Bonnaroo Brew,French & Belgian-Style Saison,4.8,40,20,HgMkeg
143,nHLlnK,Y,Boomerang,American-Style India Pale Ale,6.7,70,50,AEFy0R
144,nHLlnK,Y,Bosden,American-Style Stout,6.8,60,35,NU4qr0
145,nHLlnK,Y,Bourbon Barrel Aged Maillard's Odyssey,American-Style Imperial Porter,9.3,50,35,5lW8HD
146,NzbBOK,Y,Braupakt,South German-Style Hefeweizen / Hefeweissbier,6,15,10,hImGQV
147,nHLlnK,Y,Breakfast At Chicos,Specialty Stouts,7.5,50,35,KuiKeS
148,nHLlnK,Y,Broken Vow,American-Style Imperial Porter,NaN,50,35,9slIEB
149,nHLlnK,Y,Brut IPA,American-Style India Pale Ale,6.2,70,50,APs5oE
150,BSsTGw,Y,Brux,Specialty Beer,8.3,100,NaN,GwYXdk
151,nHLlnK,Y,Buffalo Trace Aged Scotch Ale,Scotch Ale,11.1,35,25,BbrPm8
152,q6vJUK,Y,CANfusion - Beer Camp Across America,Rye Ale or Lager with or without Yeast,7.2,NaN,NaN,xpBGZB
153,nHLlnK,Y,Cask-Aid,Specialty Beer,5.5,100,NaN,80tC1T
154,nHLlnK,Y,Celebration Ale,"Fresh ""Wet"" Hop Ale",6.8,NaN,NaN,KY5gtZ
155,nHLlnK,Y,Celebration Ale,American-Style Pale Ale,NaN,42,30,PLnqH7
156,nHLlnK,Y,Celebrator Beer News,American-Style Strong Pale Ale,9.3,50,40,v5a7l8
157,nHLlnK,Y,Cherry Chocolate Stout,Imperial or Double India Pale Ale,8.5,100,65,LkfL1Y
158,nHLlnK,Y,Chico King - Beer Camp Across America,American-Style Pale Ale,6.5,42,30,Z10a03
159,nHLlnK,Y,Chocolate Chili Stout - High Altitude Series,American-Style Imperial Stout,8.8,80,50,dnUKxu
160,nHLlnK,Y,Christmas Jam,Session Beer,4.2,30,10,oEiXJV
161,nHLlnK,Y,Clean Sweep,Golden or Blonde Ale,3.5,25,15,3dsDxX
162,nHLlnK,Y,Coffee Stout,Specialty Stouts,6.2,50,35,mXym9s
163,nHLlnK,Y,Dark Wheat,American-Style Premium Lager,NaN,15,6,XVWs1B
164,nHLlnK,Y,DevESTATEtion,American-Style Black Ale,6.7,70,50,4nRKTH
165,nHLlnK,Y,Double DeBOCKel,German-Style Doppelbock,9.4,27,17,0I5b84
166,V4I9FT,Y,Double Latte - Beer Camp Across America,Sweet or Cream Stout,7.6,25,15,LVSSPk
167,nHLlnK,Y,Draught-Style Pale Ale,American-Style Pale Ale,5,42,30,4GgbWG
168,nHLlnK,Y,Dunkelweizen,South German-Style Dunkel Weizen / Dunkel Weissbier,5.5,15,10,vzcxNZ
169,nHLlnK,Y,Dunkelweizen Bock,South German-Style Weizenbock / Weissbock,7.2,35,15,hKT9uI
170,nHLlnK,Y,Eagle Rare Barrel Aged Scotch Ale,Scotch Ale,11.3,35,25,nvaDvZ
171,nHLlnK,Y,Earth Day EPA,Extra Special Bitter,5.2,45,30,AC98pm
172,nHLlnK,Y,Electric Ray,Imperial or Double India Pale Ale,8.5,100,65,PSRi4b
173,1d90Lc,Y,Electric Ray - Beer Camp Across America,American-Style Premium Lager,8.5,15,6,jBjeGJ
174,nHLlnK,Y,ESB - Early Spring Beer,American-Style Pale Ale,5.9,42,30,TavGRG
175,nHLlnK,Y,Estate Ale,Specialty Beer,6.7,100,NaN,LDb6oj
176,nHLlnK,Y,Experimental Hop Double IPA,Imperial or Double India Pale Ale,8,100,65,Dn64tp
177,nHLlnK,Y,EXPERIMENTAL HOP PILSNER,American-Style Pilsener,5.5,40,25,z9eSax
178,nHLlnK,Y,Experimental Hop Session IPA,Session India Pale Ale,4.6,NaN,NaN,bTNGkO
179,nHLlnK,Y,Family Values,American-Style Brown Ale,8.5,45,25,JW5SJV
180,nHLlnK,Y,Fantastic Haze,Imperial or Double India Pale Ale,9,100,65,A2xLSS
181,nHLlnK,Y,Festival Bier,American-Style Märzen / Oktoberfest,6,30,20,KPu2Ot
182,nHLlnK,Y,Fistful of Hops,American-Style Pale Ale,6.2,42,30,9Ylplt
183,nHLlnK,Y,Five Hop - Experimental IPA,American-Style India Pale Ale,5.8,70,50,ceP1Cs
184,nHLlnK,Y,Flipside Red IPA,American-Style Amber/Red Ale,6.2,40,30,ePh6fw
185,nHLlnK,Y,Floral IPA - Beer Camp #53,American-Style India Pale Ale,5.9,70,50,OxvWPv
186,nHLlnK,Y,Foam Pilsner,American-Style Pilsener,5.6,40,25,1XAbSf
187,nHLlnK,Y,Fresh Hop Double IPA,Imperial or Double India Pale Ale,8,100,65,FVFucy
188,nHLlnK,Y,Fresh Hop IPA,American-Style India Pale Ale,6.4,70,50,1FBXjy
189,nHLlnK,Y,German Style IPA,American-Style India Pale Ale,6.1,70,50,oLL7QN
190,nHLlnK,Y,Glissade Golden Bock,German-Style Heller Bock/Maibock,6.4,38,20,oBALsi
191,nHLlnK,Y,Golden IPA,American-Style India Pale Ale,5.9,70,50,llmv40
192,nHLlnK,Y,Grandma's Closet,Wood- and Barrel-Aged Beer,7.6,NaN,NaN,4o9Ml2
193,nHLlnK,Y,GUARD de BEER,French-Style Bière de Garde,7,30,20,56HXGK
194,nHLlnK,Y,Harvest Ale,American-Style Pale Ale,6.7,42,30,GGaceU
195,nHLlnK,Y,Harvest Ale,American-Style Pale Ale,6.5,42,30,eIZS7k
196,nHLlnK,Y,Harvest Brewers Select IPA,American-Style India Pale Ale,6.6,70,50,YEIMmF
197,nHLlnK,Y,Harvest Fresh Hop IPA - Southern Hemisphere Harvest,"Fresh ""Wet"" Hop Ale",6.7,NaN,NaN,x8U1bY
198,nHLlnK,Y,Harvest Newly Developed Hop IPA,American-Style India Pale Ale,6.5,70,50,CU1fkx
199,nHLlnK,Y,Harvest Single Hop IPA - Equinox Hops,American-Style India Pale Ale,6.5,70,50,peyS4P
200,nHLlnK,Y,Harvest Single Hop IPA - Idaho 7 Varietal,American-Style India Pale Ale,6.5,70,50,0oHOZv
201,nHLlnK,Y,Harvest Single Hop Mandarina Hops,American-Style India Pale Ale,6.5,70,50,zGsXaD
202,nHLlnK,Y,Harvest Single Hop Yakima #291,American-Style India Pale Ale,6.5,70,50,FK6HtH
203,nHLlnK,Y,Harvest Wet Hop IPA - Northern Hemisphere Harvest,"Fresh ""Wet"" Hop Ale",6.7,NaN,NaN,ZSCpkz
204,nHLlnK,Y,Harvest Wild Hop IPA - Neomexicanus Varietal,American-Style India Pale Ale,6.5,70,50,Mx9jQm
205,nHLlnK,Y,Hazy Little Thing,Juicy or Hazy India Pale Ale,6.7,70,50,b601KW
206,nHLlnK,Y,High Sierra FestivAle,Golden or Blonde Ale,5.2,25,15,4U8cc8
207,nHLlnK,Y,Holiday Haze,American-Style India Pale Ale,6.5,70,50,C0Ax0o
208,nHLlnK,Y,Hop And Sour,American-Style Sour Ale,4.4,NaN,NaN,2VR5QQ
209,nHLlnK,Y,Hop Bam,Specialty Beer,5.8,100,NaN,MUXP6K
210,nHLlnK,Y,Hop Bullet IPA,Imperial or Double India Pale Ale,8,100,65,YSLzio
211,nHLlnK,Y,Hop Harmony,American-Style India Pale Ale,6.7,70,50,kVKPX7
212,nHLlnK,Y,Hop Hunter IPA,"Fresh ""Wet"" Hop Ale",6.2,NaN,NaN,Xmetdp
213,nHLlnK,Y,Hop Secret 644,Specialty Beer,7,100,NaN,4QXro7
214,nHLlnK,Y,Hop Smack Double,Specialty Beer,8.1,100,NaN,qXs21b
215,nHLlnK,Y,Hoppy Wheat IPA,American-Style India Pale Ale,6.2,70,50,XFwk42
216,nHLlnK,Y,Hoptimum,Imperial or Double India Pale Ale,10.4,100,65,KQDQgO
217,nHLlnK,Y,Hoptimum,Imperial or Double India Pale Ale,9.6,100,65,sAQpBR
218,nHLlnK,Y,Hoptinite,American-Style India Pale Ale,8,70,50,nOFAoT
219,nHLlnK,Y,Imperial Pilsner - Beer Camp #43,American-Style Pilsener,5.6,40,25,dbN8in
220,nHLlnK,Y,Imperial Red Ale - Beer Camp #65,Imperial Red Ale,8.1,85,55,meCiGU
221,nHLlnK,Y,India Farmhouse Ale,French & Belgian-Style Saison,7.4,40,20,qpfWYm
222,nHLlnK,Y,India Pale Ale,American-Style Pale Ale,6.8,42,30,gVynTw
223,nHLlnK,Y,Karaoke Fail,American-Style Pale Ale,6.7,42,30,xw3Nti
224,nHLlnK,Y,Kellerweis,South German-Style Hefeweizen / Hefeweissbier,4.8,15,10,JVv3qI
225,nHLlnK,Y,Knightro,Classic Irish-Style Dry Stout,4.6,40,30,FNByFy
226,nHLlnK,Y,Kolsch,German-Style Kölsch / Köln-Style Kölsch,5,25,18,vuZYco
227,nHLlnK,Y,Kölsch TEST DUMMIES,Fruit Beer,6.4,70,5,7x2tzn
228,nHLlnK,Y,Life and Limb,Specialty Beer,10.2,100,NaN,xoUVy2
229,nHLlnK,Y,Long Steam IPA,American-Style India Pale Ale,5.8,70,50,epip51
230,nHLlnK,Y,Mach 25 Intergalactic Planetary Ale,Specialty Beer,5,100,NaN,C94dnF
231,nHLlnK,Y,Mai-nd-Bockling,German-Style Heller Bock/Maibock,6,38,20,CEVOre
232,nHLlnK,Y,Maillard's Odyssey,Imperial Red Ale,8.5,85,55,n8itvA
233,noGtDY,Y,Maillard's Odyssey - Beer Camp Across America,American-Belgo-Style Ale,8.5,NaN,NaN,whHlqc
234,nHLlnK,Y,Maple Scotch-Style Ale,Scotch Ale,7.3,35,25,iNpc02
235,nHLlnK,Y,Moxee-Moron,Imperial or Double India Pale Ale,7.5,100,65,vpoGSw
236,pdLPeS,Y,Myron's Walk - Beer Camp Across America,Belgian-Style Pale Ale,5.3,30,20,S9QxGf
237,nHLlnK,Y,Narwhal,American-Style Imperial Stout,10.2,80,50,Rg6aeS
238,nHLlnK,Y,Narwhal Tawny Port Barrel Aged,American-Style Imperial Stout,11.4,80,50,9Qr0BU
239,nHLlnK,Y,Neomixicanus,American-Style India Pale Ale,6.5,70,50,TPdvZt
240,nHLlnK,Y,No Middle Ground,American-Style India Pale Ale,6.9,70,50,TOBHd9
241,nHLlnK,Y,Nooner Pilsner,American-Style Pilsener,5.2,40,25,he3yMK
242,nHLlnK,Y,Nooner Session IPA,American-Style India Pale Ale,4.8,70,50,OhhDEr
243,nHLlnK,Y,NXS,American-Style India Pale Ale,6.5,70,50,2EkHBG
244,nHLlnK,Y,NxS IPA,Imperial or Double India Pale Ale,9,100,65,BEFupD
245,nHLlnK,Y,Oatmeal Stout - Beer Camp #45,Oatmeal Stout,9,40,20,1HeKZM
246,nHLlnK,Y,Oh Saisonna,French & Belgian-Style Saison,8.3,40,20,798rjW
247,NzbBOK,Y,Oktoberfest,American-Style Märzen / Oktoberfest,6,30,20,Q5y7v5
248,xffxw3,Y,Oktoberfest,American-Style Märzen / Oktoberfest,6,30,20,CB7bu4
249,nHLlnK,Y,Oktoberfest,American-Style Märzen / Oktoberfest,6,30,20,Pwu2fR
250,nHLlnK,Y,Oktoberfest,American-Style Märzen / Oktoberfest,6.2,30,20,sfHgoE
251,nHLlnK,Y,Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),6.1,29,23,KGaPva
252,GGaceU,Y,Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),6,29,23,EcAeVx
253,nHLlnK,Y,Old Chico Crystal Wheat,American-Style Pale Ale,4.8,42,30,jChDlj
254,nHLlnK,Y,Old Chico ESB,Extra Special Bitter,NaN,45,30,Uz0Uxf
255,nHLlnK,Y,Old CHico Pale Bock,Traditional German-Style Bock,NaN,30,20,kGli9E
256,nHLlnK,Y,Otra Vez,Contemporary Gose,4.5,NaN,NaN,UZD25d
257,nHLlnK,Y,Otra Vez Gose With Lime & Agave,Contemporary Gose,4.9,NaN,NaN,cByN2F
258,nHLlnK,Y,Ovila Abbey Aged Dubbel,Belgian-Style Dubbel,8.5,30,20,dM2XzJ
259,nHLlnK,Y,Ovila Abbey Brown Ale (With Mandarins and Cocoa),American-Style Brown Ale,7,45,25,uXdZle
260,nHLlnK,Y,Ovila Abbey Quad with Plums,Belgian-Style Quadrupel,10.2,50,25,Dwhny1
261,nHLlnK,Y,Ovila Abbey Saison,French & Belgian-Style Saison,7.5,40,20,7i1hXo
262,nHLlnK,Y,Ovila Abbey Saison (w/ Mandarin Oranges and Peppercorns),French & Belgian-Style Saison,7.5,40,20,ONdtij
263,nHLlnK,Y,Ovila Abbey Trippel,Belgian-Style Tripel,8.8,45,20,Lx7DEm
264,nHLlnK,Y,Ovila Abbey White,Belgian-Style White (or Wit) / Belgian-Style Wheat,5.3,17,10,HO9ROw
265,nHLlnK,Y,Ovila Belgian Golden Ale,Belgian-Style Pale Strong Ale,8.5,50,20,qGQc7S
266,nHLlnK,Y,Ovila Dubbel,Belgian-Style Dubbel,7.5,30,20,3zb9Gq
267,nHLlnK,Y,Ovila Dubbel Barrel-Aged,Wood- and Barrel-Aged Beer,10.8,NaN,NaN,cB7Dxt
268,nHLlnK,Y,Ovila Golden With Pomegranates,Golden or Blonde Ale,8.5,25,15,4KIe0t
269,nHLlnK,Y,Ovila Quad,Belgian-Style Tripel,10.5,45,20,AlRuKw
270,nHLlnK,Y,Ovila Quad Brandy Barrel-Aged,Belgian-Style Quadrupel,10.1,50,25,T7K4um
271,nHLlnK,Y,Ovila Wood-Aged Saison,French & Belgian-Style Saison,7.8,40,20,UuyWmA
272,nHLlnK,Y,Pale Ale,American-Style Pale Ale,5.6,42,30,cdkpyx
