index,brewery_id,brewery_inBusiness,beer_name,beer_style,abv,ibu_max,ibu_min,beer_id
1380,46zcjJ,Y,Witbier,Belgian-Style White (or Wit) / Belgian-Style Wheat,5,17,10,AL5Vxk
1381,46zcjJ,Y,Zwickl,Kellerbier or Zwickelbier,5.3,NaN,NaN,7O7UoH
1382,46zcjJ,Y,¿CÓMO ESTÁ ANNIE?,American-Style India Pale Ale,6.7,70,50,JtAb8U
1383,fQhCNM,Y,Fitz Ale,American-Style Lager,NaN,13,5,kFlZGa
1384,k8ujcf,Y,Craters of Callisto,Mixed Culture Brett Beer,7.3,NaN,NaN,jrrxim
1385,k8ujcf,Y,Forgotten Farms & Fields of Stone,Specialty Honey Lager or Ale,9,100,NaN,45vcmp
1386,k8ujcf,Y,Governable Parachutes,American-Style India Pale Lager,4.8,23,12,MBalsD
1387,k8ujcf,Y,Neo-Bohemia,Contemporary American-Style Pilsener,5.3,40,25,ap2OB5
1388,k8ujcf,Y,Vimana,German-Style Kölsch / Köln-Style Kölsch,5.1,25,18,IjNF5h
1389,ajREdT,Y,Amber Ale,American-Style Amber/Red Ale,5.7,40,30,EU2r57
1390,ajREdT,Y,"April IPA of the Month - ""April Showers""",American-Style India Pale Ale,6.4,70,50,iU4pnG
1391,ajREdT,Y,"August IPA of the Month (""Spot"")",American-Style India Pale Ale,5.8,70,50,ReOPU3
1392,ajREdT,Y,"August IPA of the Month - ""Coral""",American-Style India Pale Ale,5.5,70,50,OlGgMG
1393,ajREdT,Y,BA Sexual Chocolate,American-Style Imperial Stout,9.75,80,50,lyhILK
1394,ajREdT,Y,Baltic Porter,Baltic-Style Porter,9,40,35,iHSZ6p
1395,ajREdT,Y,Blendiculous Series,American-Style Brown Ale,8,45,25,zhHcIw
1396,ajREdT,Y,Carolina Blonde,Golden or Blonde Ale,3.8,25,15,oRNNNA
1397,ajREdT,Y,Carolina Strawberry,Fruit Beer,4.3,70,5,xV9Ejf
1398,ajREdT,Y,Cottonwood Endo India Pale Ale,American-Style India Pale Ale,5.9,70,50,X8ret4
1399,ajREdT,Y,Cottonwood Low Down,American-Style Brown Ale,5.6,45,25,MLTJqg
1400,ajREdT,Y,Cottonwood Pumpkin Ale,Pumpkin Beer,5.3,70,5,DupEKP
1401,ajREdT,Y,Craft Happiness,American-Style India Pale Ale,6.5,70,50,yBYN6P
1402,ajREdT,Y,Craft Happiness - Haven,American-Style India Pale Ale,7,70,50,YgCeow
1403,ajREdT,Y,Craft Happiness IPA Project - Bookworm IPA,American-Style India Pale Ale,6.3,70,50,qwLxjU
1404,ajREdT,Y,December IPA of the Month,American-Style India Pale Ale,8.2,70,50,FwGUE5
